full_name,Position,TEAM,GP,MIN,PTS,FG_PCT,FG3_PCT,FT_PCT,AST,BLK,STL,REB,TOV,Salary,DREB,FG3A,FG3M,FGA,FGM,FTA,FTM,GS,LEAGUE_ID,OREB,ORGANIZATION_ID,PF,PLAYER_AGE,PLAYER_ID,SCHOOL_NAME,SEASON_ID,TEAM_ID,Team_ID,id,first_name,last_name,is_active,PlayerID,Status,TeamID,Team,Jersey,PositionCategory,FirstName,LastName,Height,Weight,BirthDate,BirthCity,BirthState,BirthCountry,HighSchool,College,PhotoUrl,Experience,SportRadarPlayerID,RotoworldPlayerID,RotoWirePlayerID,FantasyAlarmPlayerID,StatsPlayerID,SportsDirectPlayerID,XmlTeamPlayerID,InjuryStatus,InjuryBodyPart,InjuryStartDate,InjuryNotes,FanDuelPlayerID,DraftKingsPlayerID,YahooPlayerID,FanDuelName,DraftKingsName,YahooName,DepthChartPosition,DepthChartOrder,GlobalTeamID,FantasyDraftName,FantasyDraftPlayerID,UsaTodayPlayerID,UsaTodayHeadshotUrl,UsaTodayHeadshotNoBackgroundUrl,UsaTodayHeadshotUpdated,UsaTodayHeadshotNoBackgroundUpdated,NbaDotComPlayerID
LeBron James,SF,LAL,60,2094,1544,0.498,0.349,0.697,636,30,74,473,239,37436858,414,381,133,1176,586,343,239,60,0,59,,106,35,2544,,2019-20,1610612747,,2544,LeBron,James,TRUE,20000571,Active,27,LAL,23,F,LeBron,James,81,250,1984-12-30T00:00:00,Akron,Ohio,,,,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000571.png,15,0afbe608-940a-4d5d-a1f7-468718c67d91,927,2344,200144,214152,543582,900,Scrambled,Scrambled,2020-03-11T00:00:00,Scrambled,9488,214152,3704,LeBron James,LeBron James,LeBron James,SF,0,20000027,LeBron James,214152,4587354,http://cdn.usatsimg.com/api/download/?imageID=13714851,http://cdn.usatsimg.com/api/download/?imageID=13714823,2019-11-26T10:23:55,2019-11-26T10:23:21,2544
LeBron James,SF,LAL,60,2094,1544,0.498,0.349,0.697,636,30,74,473,239,37436858,414,381,133,1176,586,343,239,60,0,59,,106,35,2544,,2019-20,1610612747,,2544,LeBron,James,TRUE,20000571,Active,27,LAL,23,F,LeBron,James,81,250,1984-12-30T00:00:00,Akron,Ohio,,,,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000571.png,15,0afbe608-940a-4d5d-a1f7-468718c67d91,927,2344,200144,214152,543582,900,Scrambled,Scrambled,2020-03-11T00:00:00,Scrambled,9488,214152,3704,LeBron James,LeBron James,LeBron James,SF,0,20000027,LeBron James,214152,4587354,http://cdn.usatsimg.com/api/download/?imageID=13714851,http://cdn.usatsimg.com/api/download/?imageID=13714823,2019-11-26T10:23:55,2019-11-26T10:23:21,2544
LeBron James,SF,LBN,1,19,23,0.45,0.2,0.75,6,2,1,5,6,37436858,3,10,2,20,9,4,3,1,0,2,,1,35,2544,,2019-20,1610616834,,2544,LeBron,James,TRUE,20000571,Active,27,LAL,23,F,LeBron,James,81,250,1984-12-30T00:00:00,Akron,Ohio,,,,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000571.png,15,0afbe608-940a-4d5d-a1f7-468718c67d91,927,2344,200144,214152,543582,900,Scrambled,Scrambled,2020-03-11T00:00:00,Scrambled,9488,214152,3704,LeBron James,LeBron James,LeBron James,SF,0,20000027,LeBron James,214152,4587354,http://cdn.usatsimg.com/api/download/?imageID=13714851,http://cdn.usatsimg.com/api/download/?imageID=13714823,2019-11-26T10:23:55,2019-11-26T10:23:21,2544
Steven Adams,C,OKC,58,1564,633,0.591,0.333,0.59,141,65,50,543,86,25842697,347,3,1,443,262,183,108,58,0,196,,111,26,203500,,2019-20,1610612760,,203500,Steven,Adams,TRUE,20000875,Active,18,OKC,12,C,Steven,Adams,83,265,1993-07-20T00:00:00,Rotorua,New Zealand,,,Pittsburgh,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000875.png,5,a208e22a-6b63-45f9-b7c6-bf913a68f3df,2138,3445,200098,679478,751542,3545,Scrambled,Scrambled,,Scrambled,23169,679478,5163,Steven Adams,Steven Adams,Steven Adams,C,0,20000018,Steven Adams,679478,4586870,http://cdn.usatsimg.com/api/download/?imageID=13477311,http://cdn.usatsimg.com/api/download/?imageID=13514548,2019-10-09T17:16:12,2019-10-14T09:48:23,203500
Steven Adams,C,OKC,58,1564,633,0.591,0.333,0.59,141,65,50,543,86,25842697,347,3,1,443,262,183,108,58,0,196,,111,26,203500,,2019-20,1610612760,,203500,Steven,Adams,TRUE,20000875,Active,18,OKC,12,C,Steven,Adams,83,265,1993-07-20T00:00:00,Rotorua,New Zealand,,,Pittsburgh,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000875.png,5,a208e22a-6b63-45f9-b7c6-bf913a68f3df,2138,3445,200098,679478,751542,3545,Scrambled,Scrambled,,Scrambled,23169,679478,5163,Steven Adams,Steven Adams,Steven Adams,C,0,20000018,Steven Adams,679478,4586870,http://cdn.usatsimg.com/api/download/?imageID=13477311,http://cdn.usatsimg.com/api/download/?imageID=13514548,2019-10-09T17:16:12,2019-10-14T09:48:23,203500
Bam Adebayo,C,MIA,65,2234,1053,0.567,0.077,0.69,333,85,78,683,185,3454080,518,13,1,719,408,342,236,65,0,165,,164,22,1628389,,2019-20,1610612748,,1628389,Bam,Adebayo,TRUE,20001836,Active,4,MIA,13,C,Bam,Adebayo,81,255,1997-07-18T00:00:00,,,,,Kentucky,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001836.png,1,11c303dc-540c-4090-8e0c-76c2fb2c125a,2794,4153,200949,957486,774814,,Scrambled,Scrambled,,Scrambled,80817,957486,5827,Bam Adebayo,Bam Adebayo,Bam Adebayo,C,1,20000004,Bam Adebayo,957486,4587424,http://cdn.usatsimg.com/api/download/?imageID=13458784,http://cdn.usatsimg.com/api/download/?imageID=13515048,2019-10-09T17:16:12,2019-10-14T10:06:52,1628389
Bam Adebayo,C,MIA,65,2234,1053,0.567,0.077,0.69,333,85,78,683,185,3454080,518,13,1,719,408,342,236,65,0,165,,164,22,1628389,,2019-20,1610612748,,1628389,Bam,Adebayo,TRUE,20001836,Active,4,MIA,13,C,Bam,Adebayo,81,255,1997-07-18T00:00:00,,,,,Kentucky,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001836.png,1,11c303dc-540c-4090-8e0c-76c2fb2c125a,2794,4153,200949,957486,774814,,Scrambled,Scrambled,,Scrambled,80817,957486,5827,Bam Adebayo,Bam Adebayo,Bam Adebayo,C,1,20000004,Bam Adebayo,957486,4587424,http://cdn.usatsimg.com/api/download/?imageID=13458784,http://cdn.usatsimg.com/api/download/?imageID=13515048,2019-10-09T17:16:12,2019-10-14T10:06:52,1628389
Bam Adebayo,C,GNS,1,12,8,0.8,0,0,1,0,0,2,1,3454080,2,0,0,5,4,0,0,0,0,0,,0,22,1628389,,2019-20,1610616833,,1628389,Bam,Adebayo,TRUE,20001836,Active,4,MIA,13,C,Bam,Adebayo,81,255,1997-07-18T00:00:00,,,,,Kentucky,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001836.png,1,11c303dc-540c-4090-8e0c-76c2fb2c125a,2794,4153,200949,957486,774814,,Scrambled,Scrambled,,Scrambled,80817,957486,5827,Bam Adebayo,Bam Adebayo,Bam Adebayo,C,1,20000004,Bam Adebayo,957486,4587424,http://cdn.usatsimg.com/api/download/?imageID=13458784,http://cdn.usatsimg.com/api/download/?imageID=13515048,2019-10-09T17:16:12,2019-10-14T10:06:52,1628389
LaMarcus Aldridge,PF,SAS,53,1754,1001,0.493,0.389,0.827,129,87,36,392,74,26000000,289,157,61,793,391,191,158,53,0,103,,128,34,200746,,2019-20,1610612759,,200746,LaMarcus,Aldridge,TRUE,20000616,Active,24,SA,12,F,LaMarcus,Aldridge,83,250,1985-07-19T00:00:00,Dallas,Texas,,,Texas,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000616.png,12,3157a0b5-1b4c-46d1-934c-ac2df3810950,1249,2502,200260,266554,722954,1036,Scrambled,Scrambled,,Scrambled,9688,266554,4130,LaMarcus Aldridge,LaMarcus Aldridge,LaMarcus Aldridge,PF,0,20000024,LaMarcus Aldridge,266554,4587056,http://cdn.usatsimg.com/api/download/?imageID=11550398,http://cdn.usatsimg.com/api/download/?imageID=10480049,2018-10-29T16:50:08,2017-12-15T06:54:40,200746
LaMarcus Aldridge,PF,SAS,53,1754,1001,0.493,0.389,0.827,129,87,36,392,74,26000000,289,157,61,793,391,191,158,53,0,103,,128,34,200746,,2019-20,1610612759,,200746,LaMarcus,Aldridge,TRUE,20000616,Active,24,SA,12,F,LaMarcus,Aldridge,83,250,1985-07-19T00:00:00,Dallas,Texas,,,Texas,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000616.png,12,3157a0b5-1b4c-46d1-934c-ac2df3810950,1249,2502,200260,266554,722954,1036,Scrambled,Scrambled,,Scrambled,9688,266554,4130,LaMarcus Aldridge,LaMarcus Aldridge,LaMarcus Aldridge,PF,0,20000024,LaMarcus Aldridge,266554,4587056,http://cdn.usatsimg.com/api/download/?imageID=11550398,http://cdn.usatsimg.com/api/download/?imageID=10480049,2018-10-29T16:50:08,2017-12-15T06:54:40,200746
Nickeil Alexander-Walker,PG,NOP,41,501,211,0.339,0.342,0.607,74,7,11,80,40,2964840,72,117,40,227,77,28,17,0,0,8,,46,21,1629638,,2019-20,1610612740,,1629638,Nickeil,Alexander-Walker,TRUE,20002285,Active,23,NO,0,G,Nickeil,Alexander-Walker,77,205,,,,,,Virginia Tech,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20002285.png,0,d3d0ab55-b939-47b3-af27-77cdf85d7956,3137,4765,201263,1067668,781618,,Scrambled,Scrambled,2020-03-11T00:00:00,Scrambled,110356,1067668,6205,Nickeil Alexander-Walker,Nickeil Alexander-Walker,Nickeil Alexander-Walker,PG,1,20000023,Nickeil Alexander-Walker,1067668,4587095,http://cdn.usatsimg.com/api/download/?imageID=13477229,http://cdn.usatsimg.com/api/download/?imageID=13514613,2019-10-09T17:16:12,2019-10-14T09:50:19,1629638
Nickeil Alexander-Walker,PG,NOP,41,501,211,0.339,0.342,0.607,74,7,11,80,40,2964840,72,117,40,227,77,28,17,0,0,8,,46,21,1629638,,2019-20,1610612740,,1629638,Nickeil,Alexander-Walker,TRUE,20002285,Active,23,NO,0,G,Nickeil,Alexander-Walker,77,205,,,,,,Virginia Tech,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20002285.png,0,d3d0ab55-b939-47b3-af27-77cdf85d7956,3137,4765,201263,1067668,781618,,Scrambled,Scrambled,2020-03-11T00:00:00,Scrambled,110356,1067668,6205,Nickeil Alexander-Walker,Nickeil Alexander-Walker,Nickeil Alexander-Walker,PG,1,20000023,Nickeil Alexander-Walker,1067668,4587095,http://cdn.usatsimg.com/api/download/?imageID=13477229,http://cdn.usatsimg.com/api/download/?imageID=13514613,2019-10-09T17:16:12,2019-10-14T09:50:19,1629638
