Player,Position,TEAM,GP,MIN,PTS,FG%,3P%,FT%,AST,BLK,STL,REB,TOV,Salary
Stephen Curry,PG,GSW,5,139,104,40.2,24.5,100,33,2,5,26,16,40231758
James Harden,PG,HOU,61,2241,2096,43.5,35.2,86.1,450,53,106,388,273,38199000
LeBron James,SF,LAL,60,2094,1544,49.8,34.9,69.7,636,30,74,473,239,37436858
Kyle Lowry,PG,TOR,52,1901,1026,41.7,35.4,86.1,399,22,70,251,154,34996296
Blake Griffin,PF,DET,18,512,279,35.2,24.3,77.6,59,7,7,84,40,34449964
Jimmy Butler,SG,MIA,54,1851,1093,45.4,24.8,83.3,331,29,92,359,118,32742000
Kawhi Leonard,SF,LAC,51,1643,1370,46.9,36.6,88.9,254,31,92,373,140,32742000
Tobias Harris,SF,PHI,65,2244,1259,47.2,36.2,80.6,205,35,49,440,97,32742000
Gordon Hayward,SF,BOS,45,1501,778,50.2,39.2,84.7,185,20,35,294,79,32700690
Mike Conley,PG,UTA,41,1171,567,40.5,37.6,79.5,178,4,31,133,76,32511624
Kyrie Irving,PG,BKN,20,658,548,47.8,39.4,92.2,128,10,27,103,52,31742000
Khris Middleton,SF,MIL,55,1653,1159,49.9,41.8,90.8,225,7,51,341,113,30603448
Paul George,SF,LAC,42,1222,880,43.2,39.9,88.2,162,20,56,241,113,30560700
Paul Millsap,PF,DEN,44,1075,529,48.6,44,83.3,70,28,38,260,61,30350000
Damian Lillard,PG,POR,58,2140,1677,45.7,39.4,88.8,453,21,59,250,168,29802321
Kevin Love,PF,CLE,56,1780,987,45,37.4,85.4,178,19,33,547,140,28942830
Al Horford,PF,PHI,60,1848,722,44.2,33.7,75.3,244,55,52,412,65,28000000
DeMar DeRozan,SG,SAS,61,2091,1352,52.6,26.7,84.3,340,14,62,344,147,27739975
CJ McCollum,SG,POR,62,2229,1395,45.3,38,75,268,39,46,254,116,27556959
Joel Embiid,C,PHI,44,1329,1031,47.4,34.8,81.4,137,58,38,520,135,27504630
Nikola Jokic,C,DEN,65,2101,1313,52.8,31.4,81.3,446,43,77,663,202,27504630
Devin Booker,SG,PHX,62,2241,1619,48.7,36,91.6,408,16,45,258,244,27285000
Andre Drummond,C,DET,49,1654,870,53,4.8,58.4,138,82,97,775,174,27093019
Bradley Beal,SG,WAS,57,2053,1741,45.5,35.3,84.2,347,23,71,242,194,27093019
Anthony Davis,PF,LAL,55,1889,1467,51.1,33.5,84.5,172,134,82,517,135,27093018
Jrue Holiday,PG,NOP,55,1922,1076,45.2,35.7,70,378,44,92,268,158,26231111
LaMarcus Aldridge,PF,SAS,53,1754,1001,49.3,38.9,82.7,129,87,36,392,74,26000000
Giannis Antetokounmpo,PF,MIL,57,1763,1690,54.7,30.6,63.3,329,58,59,783,209,25842697
Steven Adams,C,OKC,58,1564,633,59.1,33.3,59,141,65,50,543,86,25842697
Marc Gasol,C,TOR,36,990,275,41.9,40.2,72.2,124,33,28,228,43,25595700
Nicolas Batum,SG,CHA,22,505,79,34.6,28.6,90,66,8,17,100,22,25565217
Harrison Barnes,SF,SAC,64,2231,941,45.9,38.3,80.3,152,10,38,306,80,24147727
Serge Ibaka,PF,TOR,50,1377,801,51.8,39.8,74.8,73,42,24,414,100,23271604
Rudy Gobert,C,UTA,62,2142,934,69.8,0,62.1,93,124,47,850,120,23241573
Danilo Gallinari,SF,OKC,55,1690,1057,43.9,40.9,88.6,113,4,40,302,70,22615559
Tim Hardaway Jr.,SF,DAL,63,1815,998,43.7,40.7,80.1,124,5,39,198,61,20025127
Malcolm Brogdon,PG,IND,48,1472,784,43.9,31.3,89.5,343,8,33,226,115,20000000
Aaron Gordon,PF,ORL,58,1914,833,43.3,30.1,67.5,215,36,50,441,94,19863636
Zach LaVine,PG,CHI,60,2085,1530,45,38,80.2,254,28,88,289,206,19500000
Kent Bazemore,SG,POR,43,1111,340,34.7,32.7,80.6,61,31,45,172,60,19269662
Goran Dragic,PG,MIA,54,1531,868,43.7,37.7,76.9,273,8,31,166,133,19217900
