,AST,BLK,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GP,GS,LEAGUE_ID,MIN,OREB,ORGANIZATION_ID,PF,PLAYER_AGE,PLAYER_ID,PTS,RANK_AST,RANK_BLK,RANK_DREB,RANK_EFF,RANK_FG3A,RANK_FG3M,RANK_FG3_PCT,RANK_FGA,RANK_FGM,RANK_FG_PCT,RANK_FTA,RANK_FTM,RANK_FT_PCT,RANK_MIN,RANK_OREB,RANK_PTS,RANK_REB,RANK_STL,RANK_TOV,REB,SCHOOL_NAME,SEASON_ID,STL,TEAM_ABBREVIATION,TEAM_ID,TOV,Team_ID,id,full_name,first_name,last_name,is_active,PlayerID,SportsDataID,Status,TeamID,Team,Jersey,PositionCategory,Position,FirstName,LastName,Height,Weight,BirthDate,BirthCity,BirthState,BirthCountry,HighSchool,College,Salary,PhotoUrl,Experience,SportRadarPlayerID,RotoworldPlayerID,RotoWirePlayerID,FantasyAlarmPlayerID,StatsPlayerID,SportsDirectPlayerID,XmlTeamPlayerID,InjuryStatus,InjuryBodyPart,InjuryStartDate,InjuryNotes,FanDuelPlayerID,DraftKingsPlayerID,YahooPlayerID,FanDuelName,DraftKingsName,YahooName,DepthChartPosition,DepthChartOrder,GlobalTeamID,FantasyDraftName,FantasyDraftPlayerID,UsaTodayPlayerID,UsaTodayHeadshotUrl,UsaTodayHeadshotNoBackgroundUrl,UsaTodayHeadshotUpdated,UsaTodayHeadshotNoBackgroundUpdated,NbaDotComPlayerID
0,636,30.0,414.0,381,133,0.349,1176,586,0.498,343,239,0.697,60,60,00,2094.0,59.0,,106,35.0,2544,1544,,,,,,,,,,,,,,,,,,,,473.0,,2019-20,74.0,LAL,1610612747.0,239.0,,2544,LeBron James,LeBron,James,True,20000571,,Active,27,LAL,23,F,SF,LeBron,James,81,250,1984-12-30T00:00:00,Akron,Ohio,,,,37436858.0,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000571.png,15,0afbe608-940a-4d5d-a1f7-468718c67d91,927.0,2344.0,200144.0,214152,543582.0,900.0,Scrambled,Scrambled,2020-03-11T00:00:00,Scrambled,9488,214152,3704,LeBron James,LeBron James,LeBron James,SF,0.0,20000027,LeBron James,214152,4587354.0,http://cdn.usatsimg.com/api/download/?imageID=13714851,http://cdn.usatsimg.com/api/download/?imageID=13714823,2019-11-26T10:23:55,2019-11-26T10:23:21,2544
1,636,30.0,414.0,381,133,0.349,1176,586,0.498,343,239,0.697,60,60,00,2094.0,59.0,,106,35.0,2544,1544,,,,,,,,,,,,,,,,,,,,473.0,,2019-20,74.0,LAL,1610612747.0,239.0,,2544,LeBron James,LeBron,James,True,20000571,,Active,27,LAL,23,F,SF,LeBron,James,81,250,1984-12-30T00:00:00,Akron,Ohio,,,,37436858.0,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000571.png,15,0afbe608-940a-4d5d-a1f7-468718c67d91,927.0,2344.0,200144.0,214152,543582.0,900.0,Scrambled,Scrambled,2020-03-11T00:00:00,Scrambled,9488,214152,3704,LeBron James,LeBron James,LeBron James,SF,0.0,20000027,LeBron James,214152,4587354.0,http://cdn.usatsimg.com/api/download/?imageID=13714851,http://cdn.usatsimg.com/api/download/?imageID=13714823,2019-11-26T10:23:55,2019-11-26T10:23:21,2544
2,6,2.0,3.0,10,2,0.2,20,9,0.45,4,3,0.75,1,1,00,19.0,2.0,,1,35.0,2544,23,,,,,,,,,,,,,,,,,,,,5.0,,2019-20,1.0,LBN,1610616834.0,6.0,,2544,LeBron James,LeBron,James,True,20000571,,Active,27,LAL,23,F,SF,LeBron,James,81,250,1984-12-30T00:00:00,Akron,Ohio,,,,37436858.0,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000571.png,15,0afbe608-940a-4d5d-a1f7-468718c67d91,927.0,2344.0,200144.0,214152,543582.0,900.0,Scrambled,Scrambled,2020-03-11T00:00:00,Scrambled,9488,214152,3704,LeBron James,LeBron James,LeBron James,SF,0.0,20000027,LeBron James,214152,4587354.0,http://cdn.usatsimg.com/api/download/?imageID=13714851,http://cdn.usatsimg.com/api/download/?imageID=13714823,2019-11-26T10:23:55,2019-11-26T10:23:21,2544
4,141,65.0,347.0,3,1,0.333,443,262,0.591,183,108,0.59,58,58,00,1564.0,196.0,,111,26.0,203500,633,,,,,,,,,,,,,,,,,,,,543.0,,2019-20,50.0,OKC,1610612760.0,86.0,,203500,Steven Adams,Steven,Adams,True,20000875,,Active,18,OKC,12,C,C,Steven,Adams,83,265,1993-07-20T00:00:00,Rotorua,New Zealand,,,Pittsburgh,25842697.0,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000875.png,5,a208e22a-6b63-45f9-b7c6-bf913a68f3df,2138.0,3445.0,200098.0,679478,751542.0,3545.0,Scrambled,Scrambled,,Scrambled,23169,679478,5163,Steven Adams,Steven Adams,Steven Adams,C,0.0,20000018,Steven Adams,679478,4586870.0,http://cdn.usatsimg.com/api/download/?imageID=13477311,http://cdn.usatsimg.com/api/download/?imageID=13514548,2019-10-09T17:16:12,2019-10-14T09:48:23,203500
5,141,65.0,347.0,3,1,0.333,443,262,0.591,183,108,0.59,58,58,00,1564.0,196.0,,111,26.0,203500,633,,,,,,,,,,,,,,,,,,,,543.0,,2019-20,50.0,OKC,1610612760.0,86.0,,203500,Steven Adams,Steven,Adams,True,20000875,,Active,18,OKC,12,C,C,Steven,Adams,83,265,1993-07-20T00:00:00,Rotorua,New Zealand,,,Pittsburgh,25842697.0,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000875.png,5,a208e22a-6b63-45f9-b7c6-bf913a68f3df,2138.0,3445.0,200098.0,679478,751542.0,3545.0,Scrambled,Scrambled,,Scrambled,23169,679478,5163,Steven Adams,Steven Adams,Steven Adams,C,0.0,20000018,Steven Adams,679478,4586870.0,http://cdn.usatsimg.com/api/download/?imageID=13477311,http://cdn.usatsimg.com/api/download/?imageID=13514548,2019-10-09T17:16:12,2019-10-14T09:48:23,203500
7,333,85.0,518.0,13,1,0.077,719,408,0.567,342,236,0.69,65,65,00,2234.0,165.0,,164,22.0,1628389,1053,,,,,,,,,,,,,,,,,,,,683.0,,2019-20,78.0,MIA,1610612748.0,185.0,,1628389,Bam Adebayo,Bam,Adebayo,True,20001836,,Active,4,MIA,13,C,C,Bam,Adebayo,81,255,1997-07-18T00:00:00,,,,,Kentucky,3454080.0,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001836.png,1,11c303dc-540c-4090-8e0c-76c2fb2c125a,2794.0,4153.0,200949.0,957486,774814.0,,Scrambled,Scrambled,,Scrambled,80817,957486,5827,Bam Adebayo,Bam Adebayo,Bam Adebayo,C,1.0,20000004,Bam Adebayo,957486,4587424.0,http://cdn.usatsimg.com/api/download/?imageID=13458784,http://cdn.usatsimg.com/api/download/?imageID=13515048,2019-10-09T17:16:12,2019-10-14T10:06:52,1628389
8,333,85.0,518.0,13,1,0.077,719,408,0.567,342,236,0.69,65,65,00,2234.0,165.0,,164,22.0,1628389,1053,,,,,,,,,,,,,,,,,,,,683.0,,2019-20,78.0,MIA,1610612748.0,185.0,,1628389,Bam Adebayo,Bam,Adebayo,True,20001836,,Active,4,MIA,13,C,C,Bam,Adebayo,81,255,1997-07-18T00:00:00,,,,,Kentucky,3454080.0,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001836.png,1,11c303dc-540c-4090-8e0c-76c2fb2c125a,2794.0,4153.0,200949.0,957486,774814.0,,Scrambled,Scrambled,,Scrambled,80817,957486,5827,Bam Adebayo,Bam Adebayo,Bam Adebayo,C,1.0,20000004,Bam Adebayo,957486,4587424.0,http://cdn.usatsimg.com/api/download/?imageID=13458784,http://cdn.usatsimg.com/api/download/?imageID=13515048,2019-10-09T17:16:12,2019-10-14T10:06:52,1628389
9,1,0.0,2.0,0,0,0.0,5,4,0.8,0,0,0.0,1,0,00,12.0,0.0,,0,22.0,1628389,8,,,,,,,,,,,,,,,,,,,,2.0,,2019-20,0.0,GNS,1610616833.0,1.0,,1628389,Bam Adebayo,Bam,Adebayo,True,20001836,,Active,4,MIA,13,C,C,Bam,Adebayo,81,255,1997-07-18T00:00:00,,,,,Kentucky,3454080.0,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20001836.png,1,11c303dc-540c-4090-8e0c-76c2fb2c125a,2794.0,4153.0,200949.0,957486,774814.0,,Scrambled,Scrambled,,Scrambled,80817,957486,5827,Bam Adebayo,Bam Adebayo,Bam Adebayo,C,1.0,20000004,Bam Adebayo,957486,4587424.0,http://cdn.usatsimg.com/api/download/?imageID=13458784,http://cdn.usatsimg.com/api/download/?imageID=13515048,2019-10-09T17:16:12,2019-10-14T10:06:52,1628389
11,129,87.0,289.0,157,61,0.389,793,391,0.493,191,158,0.827,53,53,00,1754.0,103.0,,128,34.0,200746,1001,,,,,,,,,,,,,,,,,,,,392.0,,2019-20,36.0,SAS,1610612759.0,74.0,,200746,LaMarcus Aldridge,LaMarcus,Aldridge,True,20000616,,Active,24,SA,12,F,PF,LaMarcus,Aldridge,83,250,1985-07-19T00:00:00,Dallas,Texas,,,Texas,26000000.0,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000616.png,12,3157a0b5-1b4c-46d1-934c-ac2df3810950,1249.0,2502.0,200260.0,266554,722954.0,1036.0,Scrambled,Scrambled,,Scrambled,9688,266554,4130,LaMarcus Aldridge,LaMarcus Aldridge,LaMarcus Aldridge,PF,0.0,20000024,LaMarcus Aldridge,266554,4587056.0,http://cdn.usatsimg.com/api/download/?imageID=11550398,http://cdn.usatsimg.com/api/download/?imageID=10480049,2018-10-29T16:50:08,2017-12-15T06:54:40,200746
12,129,87.0,289.0,157,61,0.389,793,391,0.493,191,158,0.827,53,53,00,1754.0,103.0,,128,34.0,200746,1001,,,,,,,,,,,,,,,,,,,,392.0,,2019-20,36.0,SAS,1610612759.0,74.0,,200746,LaMarcus Aldridge,LaMarcus,Aldridge,True,20000616,,Active,24,SA,12,F,PF,LaMarcus,Aldridge,83,250,1985-07-19T00:00:00,Dallas,Texas,,,Texas,26000000.0,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/nba/low-res/20000616.png,12,3157a0b5-1b4c-46d1-934c-ac2df3810950,1249.0,2502.0,200260.0,266554,722954.0,1036.0,Scrambled,Scrambled,,Scrambled,9688,266554,4130,LaMarcus Aldridge,LaMarcus Aldridge,LaMarcus Aldridge,PF,0.0,20000024,LaMarcus Aldridge,266554,4587056.0,http://cdn.usatsimg.com/api/download/?imageID=11550398,http://cdn.usatsimg.com/api/download/?imageID=10480049,2018-10-29T16:50:08,2017-12-15T06:54:40,200746
