,AST,BLK,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GP,GS,LEAGUE_ID,MIN,OREB,ORGANIZATION_ID,PF,PLAYER_AGE,PLAYER_ID,PTS,RANK_AST,RANK_BLK,RANK_DREB,RANK_EFF,RANK_FG3A,RANK_FG3M,RANK_FG3_PCT,RANK_FGA,RANK_FGM,RANK_FG_PCT,RANK_FTA,RANK_FTM,RANK_FT_PCT,RANK_MIN,RANK_OREB,RANK_PTS,RANK_REB,RANK_STL,RANK_TOV,REB,SCHOOL_NAME,SEASON_ID,STL,TEAM_ABBREVIATION,TEAM_ID,TOV,Team_ID,id,full_name,first_name,last_name,is_active
16,636,30.0,414.0,381,133,0.349,1176,586,0.498,343,239,0.697,60,60,00,2094.0,59.0,,106,35.0,2544,1544,,,,,,,,,,,,,,,,,,,,473.0,,2019-20,74.0,LAL,1610612747.0,239.0,,2544,LeBron James,LeBron,James,True
206,141,65,347,3,1,0.333,443,262,0.591,183,108,0.59,58,58,00,1564.0,196,,111,26.0,203500,633,,,,,,,,,,,,,,,,,,,,543.0,,2019-20,50,OKC,1610612760.0,86,,203500,Steven Adams,Steven,Adams,True
215,333,85,518,13,1,0.077,719,408,0.567,342,236,0.69,65,65,00,2234.0,165,,164,22.0,1628389,1053,,,,,,,,,,,,,,,,,,,,683.0,,2019-20,78,MIA,1610612748.0,185,,1628389,Bam Adebayo,Bam,Adebayo,True
333,129,87,289,157,61,0.389,793,391,0.493,191,158,0.827,53,53,00,1754.0,103,,128,34.0,200746,1001,,,,,,,,,,,,,,,,,,,,392.0,,2019-20,36,SAS,1610612759.0,74,,200746,LaMarcus Aldridge,LaMarcus,Aldridge,True
360,74,7,72,117,40,0.342,227,77,0.339,28,17,0.607,41,0,00,501.0,8,,46,21.0,1629638,211,,,,,,,,,,,,,,,,,,,,80.0,,2019-20,11,NOP,1610612740.0,40,,1629638,Nickeil Alexander-Walker,Nickeil,Alexander-Walker,True
370,43,1,61,91,33,0.363,176,79,0.449,35,30,0.857,30,0,00,498.0,5,,36,24.0,1628960,221,,,,,,,,,,,,,,,,,,,,66.0,,2019-20,6,MEM,1610612763.0,23,,1628960,Grayson Allen,Grayson,Allen,True
373,85,85,410,5,0,0.0,413,267,0.646,237,147,0.62,64,58,00,1647.0,195,,144,21.0,1628386,681,,,,,,,,,,,,,,,,,,,,605.0,,2019-20,37,BKN,1610612751.0,72,,1628386,Jarrett Allen,Jarrett,Allen,True
380,21,2,7,16,5,0.313,44,19,0.432,11,7,0.636,10,0,00,117.0,2,,7,27.0,1628443,50,,,,,,,,,,,,,,,,,,,,9.0,,2019-20,5,NYK,1610612752.0,8,,1628443,Kadeem Allen,Kadeem,Allen,True
492,21,8,63,36,9,0.25,86,25,0.291,29,19,0.655,18,2,00,380.0,24,,27,29.0,202329,78,,,,,,,,,,,,,,,,,,,,87.0,,2019-20,18,ORL,1610612753.0,17,,202329,Al-Farouq Aminu,Al-Farouq,Aminu,True
594,0,1,2,3,0,0.0,6,1,0.167,2,1,0.5,3,0,00,17.0,0,,2,26.0,1626147,3,,,,,,,,,,,,,,,,,,,,2.0,,2019-20,0,BKN,1610612751.0,0,,1626147,Justin Anderson,Justin,Anderson,True
623,132,31,203,62,16,0.258,280,138,0.493,66,43,0.652,59,20,00,1140.0,54,,85,26.0,203937,335,,,,,,,,,,,,,,,,,,,,257.0,,2019-20,46,MEM,1610612763.0,55,,203937,Kyle Anderson,Kyle,Anderson,True
678,2,0,7,5,1,0.2,7,2,0.286,0,0,0.0,2,0,00,14.0,0,,1,31.0,201583,5,,,,,,,,,,,,,,,,,,,,7.0,,2019-20,1,HOU,1610612745.0,1,,201583,Ryan Anderson,Ryan,Anderson,True
721,329,58,653,271,83,0.306,1139,623,0.547,570,361,0.633,57,57,00,1763.0,130,,173,25.0,203507,1690,,,,,,,,,,,,,,,,,,,,783.0,,2019-20,59,MIL,1610612749.0,209,,203507,Giannis Antetokounmpo,Giannis,Antetokounmpo,True
723,1,0,1,0,0,0.0,0,0,0.0,0,0,0.0,3,0,00,5.0,0,,0,22.0,1628961,0,,,,,,,,,,,,,,,,,,,,1.0,,2019-20,0,LAL,1610612747.0,0,,1628961,Kostas Antetokounmpo,Kostas,Antetokounmpo,True
725,9,2,8,7,0,0.0,36,19,0.528,15,7,0.467,18,2,00,93.0,11,,13,27.0,203648,45,,,,,,,,,,,,,,,,,,,,19.0,,2019-20,6,MIL,1610612749.0,11,,203648,Thanasis Antetokounmpo,Thanasis,Antetokounmpo,True
744,79,23,252,194,72,0.371,679,289,0.426,134,113,0.843,50,50,00,1623.0,61,,142,35.0,2546,763,,,,,,,,,,,,,,,,,,,,313.0,,2019-20,40,POR,1610612757.0,87,,2546,Carmelo Anthony,Carmelo,Anthony,True
774,99,42,267,215,82,0.381,527,267,0.507,86,59,0.686,63,62,00,1897.0,74,,155,22.0,1628384,675,,,,,,,,,,,,,,,,,,,,341.0,,2019-20,88,TOR,1610612761.0,75,,1628384,OG Anunoby,OG,Anunoby,True
800,96,3,90,138,54,0.391,220,90,0.409,38,27,0.711,58,4,00,930.0,20,,96,25.0,1627853,261,,,,,,,,,,,,,,,,,,,,110.0,,2019-20,27,CHI,1610612741.0,37,,1627853,Ryan Arcidiacono,Ryan,Arcidiacono,True
841,50,7,125,122,43,0.352,165,64,0.388,27,21,0.778,32,0,00,791.0,21,,63,34.0,2772,192,,,,,,,,,,,,,,,,,,,,146.0,,2019-20,35,SAC,1610612758.0,28,,2772,Trevor Ariza,Trevor,Ariza,True
